frame	subF	slot	rnti	firstSym	numSym	type	tddMode	retxNum	ccId
11	8	1	0	13	1	2	2	0	0
11	8	2	0	13	1	2	2	0	0
11	8	3	0	13	1	2	2	0	0
11	9	0	0	13	1	2	2	0	0
11	9	1	0	13	1	2	2	0	0
11	9	2	0	13	1	2	2	0	0
11	9	3	0	13	1	2	2	0	0
12	0	0	0	13	1	2	2	0	0
12	0	1	0	13	1	2	2	0	0
12	0	2	0	13	1	2	2	0	0
12	0	3	0	13	1	2	2	0	0
12	1	0	0	13	1	2	2	0	0
12	1	1	0	13	1	2	2	0	0
12	1	2	0	13	1	2	2	0	0
12	1	3	0	13	1	2	2	0	0
12	2	0	0	13	1	2	2	0	0
12	2	1	0	13	1	2	2	0	0
12	2	2	0	13	1	2	2	0	0
12	2	3	0	13	1	2	2	0	0
12	3	0	0	13	1	2	2	0	0
12	3	1	0	13	1	2	2	0	0
12	3	2	0	13	1	2	2	0	0
12	3	3	0	13	1	2	2	0	0
12	4	0	0	13	1	2	2	0	0
12	4	1	0	13	1	2	2	0	0
12	4	2	0	13	1	2	2	0	0
12	4	3	0	13	1	2	2	0	0
12	5	0	0	13	1	2	2	0	0
12	5	1	0	13	1	2	2	0	0
12	5	2	0	13	1	2	2	0	0
12	5	3	0	13	1	2	2	0	0
12	6	0	0	13	1	2	2	0	0
12	6	1	0	13	1	2	2	0	0
12	6	2	0	13	1	2	2	0	0
12	6	3	0	13	1	2	2	0	0
12	7	0	0	13	1	2	2	0	0
12	7	1	0	13	1	2	2	0	0
12	7	2	0	13	1	2	2	0	0
12	7	3	0	13	1	2	2	0	0
12	8	0	0	13	1	2	2	0	0
12	8	1	0	13	1	2	2	0	0
12	8	2	0	13	1	2	2	0	0
12	8	3	0	13	1	2	2	0	0
12	9	0	0	13	1	2	2	0	0
12	9	1	0	13	1	2	2	0	0
12	9	2	0	13	1	2	2	0	0
12	9	3	0	13	1	2	2	0	0
13	0	0	0	13	1	2	2	0	0
13	0	1	0	13	1	2	2	0	0
13	0	2	0	13	1	2	2	0	0
13	0	3	0	13	1	2	2	0	0
13	1	0	0	13	1	2	2	0	0
13	1	1	0	13	1	2	2	0	0
13	1	2	0	13	1	2	2	0	0
13	1	3	0	13	1	2	2	0	0
13	2	0	0	13	1	2	2	0	0
13	2	1	0	13	1	2	2	0	0
13	2	2	0	13	1	2	2	0	0
13	2	3	0	13	1	2	2	0	0
13	3	0	1	1	1	0	2	0	0
13	3	0	0	13	1	2	2	0	0
13	3	1	0	13	1	2	2	0	0
13	3	2	0	13	1	2	2	0	0
13	3	3	0	13	1	2	2	0	0
13	4	0	0	13	1	2	2	0	0
13	4	1	0	13	1	2	2	0	0
13	4	2	0	13	1	2	2	0	0
13	4	3	0	13	1	2	2	0	0
13	5	0	0	13	1	2	2	0	0
13	5	1	0	13	1	2	2	0	0
13	5	2	0	13	1	2	2	0	0
13	5	3	0	13	1	2	2	0	0
13	6	0	0	13	1	2	2	0	0
13	6	1	0	13	1	2	2	0	0
13	6	2	0	13	1	2	2	0	0
13	6	3	0	13	1	2	2	0	0
13	7	0	0	13	1	2	2	0	0
13	7	1	0	13	1	2	2	0	0
13	7	2	0	13	1	2	2	0	0
13	7	3	0	13	1	2	2	0	0
13	8	0	0	13	1	2	2	0	0
